Location,Population,Date
India,1413324000,1 Mar 2025
China,1408280000,31 Dec 2024
United States,340110988,1 Jul 2024
Indonesia,282477584,30 Jun 2024
Pakistan,241499431,1 Mar 2023
Nigeria,223800000,1 Jul 2023
Brazil,212583750,1 Jul 2024
Bangladesh,169828911,14 Jun 2022
Russia,146028325,1 Jan 2025
Mexico,130294079,31 Dec 2024
Japan,123440000,1 Mar 2025
Philippines,114123600,1 Jul 2025
Ethiopia,109499000,1 Jul 2024
Democratic Republic of the Congo,109276000,1 Jul 2024
Egypt,105914499,1 Jan 2024
Vietnam,101343800,31 Dec 2024
Iran,85961000,20 Mar 2024
Turkey,85664944,31 Dec 2024
Germany,83555478,30 Sep 2024
France,68609000,1 Mar 2025
United Kingdom,68265209,1 Jul 2023
Thailand,65932105,31 Jan 2025
South Africa,63015904,30 Jul 2024
Tanzania,61741120,23 Aug 2022
Italy,58934177,31 Dec 2024
Colombia,52695952,1 Jan 2024
Kenya,52428290,1 Jan 2024
Myanmar,51316756,15 Oct 2024
South Korea,51207874,31 Jan 2025
Sudan,50448963,1 Jul 2024
Spain,49077984,1 Jan 2025
Algeria,47400000,1 Jan 2025
Argentina,47067641,1 Jul 2024
Uganda,45905417,10 May 2024
Iraq,44414800,1 Jul 2024
Afghanistan,42045000,1 Jul 2024
Canada,41528680,1 Jan 2025
Uzbekistan,37543167,1 Jan 2025
Poland,37470000,31 Jan 2025
Morocco,36828330,1 Sep 2024
Angola,35121734,1 Jun 2024
Malaysia,34157500,31 Dec 2024
Peru,34038457,1 Jul 2024
Mozambique,33244414,1 Jul 2024
Ghana,33007618,1 Jul 2024
Ukraine,32962000,1 Jan 2025
Yemen,32305264,1 Jul 2022
Saudi Arabia,32175224,10 May 2022
Madagascar,30811969,1 Jul 2024
Ivory Coast,29389150,14 Dec 2021
Nepal,29164578,25 Nov 2021
Cameroon,28758503,1 Jul 2024
Venezuela,28405543,1 Jul 2024
Australia,27309396,30 Sep 2024
Niger,26312034,1 Jul 2024
North Korea,25950000,1 Jul 2024
Syria,24672760,1 Jul 2024
Burkina Faso,23409015,1 Jul 2024
Taiwan,23374742,31 Mar 2025
Mali,22395489,15 Jun 2022
Sri Lanka,21763170,24 Mar 2025
Kazakhstan,20316155,1 Mar 2025
Malawi,20270568,1 Jul 2024
Chile,20086377,30 Jun 2024
Zambia,19610769,14 Sep 2022
Romania,19064409,1 Jan 2024
Somalia,19009151,1 Jul 2024
Chad,18675547,1 Jul 2024
Senegal,18126390,15 May 2023
Netherlands,18060445,28 Feb 2025
Guatemala,17843132,1 Jul 2024
Cambodia,17336307,1 Jul 2024
Ecuador,16938986,1 Oct 2022
Zimbabwe,16751469,1 Jul 2024
South Sudan,15254268,1 Jul 2023
Guinea,14363931,1 Jul 2025
Rwanda,13798561,1 Jul 2024
Benin,12910087,1 Jul 2024
Burundi,12837740,1 Jul 2022
Tunisia,11887412,1 Jan 2024
Haiti,11867032,1 Jul 2024
Belgium,11812354,1 Jan 2025
Papua New Guinea,11781559,1 Jul 2021
Jordan,11734000,31 Dec 2024
Bolivia,11312620,23 Mar 2024
Cuba,11089511,31 Dec 2022
Czech Republic,10909500,31 Dec 2024
Dominican Republic,10771504,10 Nov 2022
United Arab Emirates,10678556,31 Dec 2023
Portugal,10639726,31 Dec 2023
Sweden,10587970,28 Feb 2025
Greece,10400720,1 Jan 2024
Tajikistan,10277100,1 Jan 2024
Azerbaijan,10218536,1 Nov 2024
Israel,10045100,28 Feb 2025
Honduras,9892632,1 Jul 2024
Hungary,9540000,1 Jan 2025
Austria,9198214,1 Jan 2025
Belarus,9109280,1 Jan 2025
Switzerland,9027859,30 Sep 2024
Sierra Leone,8884032,1 Jul 2024
Togo,8095498,8 Nov 2022
Laos,7546000,1 Jul 2023
Hong Kong (China),7534200,31 Dec 2024
Libya,7381023,1 Jul 2024
Kyrgyzstan,7161900,1 Jan 2024
Turkmenistan,7057841,17 Dec 2022
Nicaragua,6803886,30 Jun 2023
Serbia,6605168,1 Jan 2024
Central African Republic,6470307,1 Jul 2024
Bulgaria,6445481,31 Dec 2023
Republic of the Congo,6142180,17 May 2023
Paraguay,6109644,10 Nov 2022
Singapore,6036900,30 Jun 2024
El Salvador,6029976,2 May 2024
Denmark,5992734,1 Jan 2025
Finland,5639600,28 Feb 2025
Norway,5594340,31 Dec 2024
Lebanon,5490000,1 Jul 2021
Palestine,5483450,1 Jan 2023
Slovakia,5419451,31 Dec 2024
Ireland,5380300,1 Apr 2024
New Zealand,5356700,31 Dec 2024
Costa Rica,5309625,30 Jun 2024
Oman,5274249,31 Jan 2025
Liberia,5248621,10 Nov 2022
Mauritania,4927532,25 Dec 2023
Kuwait,4913271,1 Jan 2024
Panama,4064780,8 Jan 2023
Croatia,3859686,1 Jul 2023
Georgia,3694600,1 Jan 2024
Eritrea,3535603,1 Jul 2024
Mongolia,3504741,31 Dec 2023
Uruguay,3499451,31 May 2023
Bosnia and Herzegovina,3264873,1 Jul 2023
Puerto Rico (US),3203295,1 Jul 2024
Armenia,3075800,1 Jan 2024
Namibia,3022401,24 Sep 2023
Lithuania,2889402,1 Apr 2025
Qatar,2857822,30 Jun 2024
Jamaica,2825544,1 Jul 2019
Moldova,2423300,1 Jan 2024
Gambia,2417471,1 Jul 2022
Botswana,2410338,1 Jul 2021
Gabon,2408586,1 Jul 2024
Albania,2402113,18 Sep 2023
Lesotho,2306000,1 Jul 2023
Slovenia,2129052,1 Oct 2024
Latvia,1850100,1 Feb 2025
North Macedonia,1826247,31 Dec 2023
Guinea-Bissau,1781308,1 Jul 2023
Bahrain,1588670,1 Jul 2024
Kosovo,1585566,4 Apr 2024
Equatorial Guinea,1558160,1 Jul 2022
Timor-Leste,1373024,1 Jul 2024
Estonia,1369285,1 Jan 2025
Trinidad and Tobago,1368333,30 Jun 2024
Mauritius,1244477,31 Dec 2024
Eswatini,1235549,1 Jul 2024
Djibouti,1066809,20 May 2024
Cyprus,966400,31 Dec 2023
Fiji,900869,1 Jan 2025
Comoros,870038,2023
Bhutan,777224,2024
Guyana,772975,1 Jul 2021
Solomon Islands,750325,1 Jul 2024
Macau (China),688300,31 Dec 2024
Luxembourg,672050,1 Jan 2024
Montenegro,623633,31 Oct 2023
Suriname,616500,1 Jul 2021
Western Sahara,590506,1 Jul 2024
Malta,563443,31 Dec 2023
Maldives,515132,13 Sep 2022
Cape Verde,491233,16 Jun 2021
Northern Cyprus,476214,31 Dec 2023
Brunei,455500,1 Jul 2024
Belize,410919,1 Jul 2024
Bahamas,398165,4 Apr 2022
Iceland,389450,1 Jan 2025
Transnistria,360938,31 Dec 2022
Vanuatu,321409,1 Jul 2024
French Polynesia (France),279890,1 Jul 2021
New Caledonia (France),268510,1 Jan 2023
Barbados,267800,31 Dec 2022
Abkhazia,244236,1 Jan 2022
São Tomé and Príncipe,228319,1 Jul 2024
Samoa,205557,6 Nov 2021
Saint Lucia,184100,1 Jul 2023
Curaçao (Netherlands),155826,2 Sep 2023
Guam (US),153836,1 Apr 2020
Seychelles,122038,31 Dec 2024
Kiribati,120740,1 Jul 2021
Grenada,112579,1 Jul 2019
Saint Vincent and the Grenadines,110872,1 Jul 2022
Aruba (Netherlands),107566,31 Dec 2023
Micronesia,105754,1 Jul 2021
Antigua and Barbuda,103603,1 Jan 2024
Jersey (UK),103267,21 Mar 2021
Tonga,100179,1 Jan 2022
Andorra,87486,28 Feb 2025
U.S. Virgin Islands (US),87146,1 Apr 2020
Cayman Islands (UK),84738,31 Dec 2023
Isle of Man (UK),84530,1 Apr 2023
Dominica,67408,31 Dec 2017
Guernsey (UK),64781,31 Dec 2023
Bermuda (UK),64055,1 Jul 2021
Greenland (Denmark),56542,1 Jan 2025
South Ossetia,56520,31 Dec 2021
Faroe Islands (Denmark),54784,1 Mar 2025
Saint Kitts and Nevis,51320,2022
Turks and Caicos Islands (UK),50894,1 Jul 2024
American Samoa (US),49710,1 Apr 2020
Northern Mariana Islands (US),47329,1 Apr 2020
Marshall Islands,42418,30 Sep 2021
Sint Maarten (Netherlands),41349,1 Jan 2024
Liechtenstein,40900,30 Dec 2024
British Virgin Islands (UK),39471,1 Jul 2024
Monaco,38367,31 Dec 2023
Gibraltar (UK),38000,14 Nov 2022
San Marino,34042,31 Jan 2025
Saint Martin (France),31496,1 Jan 2025
Palau,16733,1 Jul 2021
Anguilla (UK),15931,31 Dec 2023
Cook Islands (New Zealand),15040,1 Jul 2021
Nauru,11680,30 Oct 2021
Wallis and Futuna (France),11620,24 Jul 2023
Tuvalu,10643,12 Dec 2022
Saint Barthélemy (France),10562,1 Jan 2025
Saint Pierre and Miquelon (France),5819,1 Jan 2025
"Saint Helena, Ascension and Tristan da Cunha (UK)",5651,1 Jul 2021
Montserrat (UK),4386,23 Sep 2023
Falkland Islands (UK),3662,10 Oct 2021
Norfolk Island (Australia),2188,1 Jan 2021
Christmas Island (Australia),1692,1 Jan 2021
Niue (New Zealand),1681,11 Nov 2022
Tokelau (New Zealand),1647,1 Jan 2019
Vatican City,882,31 Dec 2024
Cocos (Keeling) Islands (Australia),593,30 Jun 2020
Pitcairn Islands (UK),35,1 Jul 2023
